Year,Month,Weekday,State,NumOfAccidents
2016,5,Saturday,IA,8
2016,5,Saturday,IN,1
2016,5,Saturday,MA,1
2016,5,Saturday,NE,5
2016,5,Saturday,NJ,4
2016,5,Saturday,NY,20
2016,5,Saturday,OH,14
2016,5,Saturday,PA,6
2016,5,Saturday,RI,4
2016,5,Saturday,WV,1
2016,5,Sunday,CA,670
2016,5,Sunday,CT,5
2016,5,Sunday,DE,1
2016,5,Sunday,IA,2
2016,5,Sunday,IN,4
2016,5,Sunday,KY,2
2016,5,Sunday,MA,1
2016,5,Sunday,MD,1
2016,5,Sunday,MI,1
2016,5,Sunday,NE,12
2016,5,Sunday,NH,1
2016,5,Sunday,NJ,17
2016,5,Sunday,NY,19
2016,5,Sunday,OH,17
2016,5,Sunday,PA,7
2016,5,Sunday,WV,1
2016,5,Thursday,CA,2662
2016,5,Thursday,CT,45
2016,5,Thursday,DE,1
2016,5,Thursday,IA,34
2016,5,Thursday,IN,8
2016,5,Thursday,KY,13
2016,5,Thursday,MA,22
2016,5,Thursday,MD,5
2016,5,Thursday,MI,1
2016,5,Thursday,MN,1
2016,5,Thursday,MO,5
2016,5,Thursday,NE,102
2016,5,Thursday,NH,2
2016,5,Thursday,NJ,117
2016,5,Thursday,NY,156
2016,5,Thursday,OH,140
2016,5,Thursday,PA,39
2016,5,Thursday,RI,16
2016,5,Thursday,WV,4
2016,5,Tuesday,CA,3050
2016,5,Tuesday,CT,78
2016,5,Tuesday,IA,39
2016,5,Tuesday,IN,13
2016,5,Tuesday,KY,23
2016,5,Tuesday,MA,21
2016,5,Tuesday,MD,6
2016,5,Tuesday,MI,2
2016,5,Tuesday,MO,4
2016,5,Tuesday,NE,152
2016,5,Tuesday,NJ,127
2016,5,Tuesday,NY,190
2016,5,Tuesday,OH,201
2016,5,Tuesday,PA,48
2016,5,Tuesday,RI,16
2016,5,Tuesday,WV,3
2016,5,Wednesday,CA,2721
2016,5,Wednesday,CT,50
2016,5,Wednesday,DE,1
2016,5,Wednesday,IA,21
2016,5,Wednesday,IN,18
2016,5,Wednesday,KY,13
2016,5,Wednesday,MA,18
2016,5,Wednesday,MD,2
2016,5,Wednesday,MO,5
2016,5,Wednesday,NE,130
2016,5,Wednesday,NH,2
2016,5,Wednesday,NJ,86
2016,5,Wednesday,NY,173
2016,5,Wednesday,OH,182
2016,5,Wednesday,PA,26
2016,5,Wednesday,RI,19
2016,5,Wednesday,WV,2
2016,6,Friday,AL,9
2016,6,Friday,AR,2
2016,6,Friday,AZ,10
2016,6,Friday,CA,2523
2016,6,Friday,CO,14
2016,6,Friday,CT,72
2016,6,Friday,DC,4
2016,6,Friday,DE,12
2016,6,Friday,FL,241
2016,6,Friday,GA,79
2016,6,Friday,IA,20
2016,6,Friday,ID,5
2016,6,Friday,IL,135
2016,6,Friday,IN,7
2016,6,Friday,KS,6
2016,6,Friday,KY,9
2016,6,Friday,LA,6
2016,6,Friday,MA,51
2016,6,Friday,MD,86
2016,6,Friday,MI,74
2016,6,Friday,MN,23
2016,6,Friday,MO,19
2016,6,Friday,MS,2
2016,6,Friday,NC,28
2016,6,Friday,NE,127
2016,6,Friday,NJ,102
2016,6,Friday,NM,1
2016,6,Friday,NV,4
2016,6,Friday,NY,249
2016,6,Friday,OH,115
2016,6,Friday,OK,3
2016,6,Friday,OR,5
2016,6,Friday,PA,106
2016,6,Friday,RI,19
2016,6,Friday,SC,23
2016,6,Friday,TN,24
2016,6,Friday,TX,253
2016,6,Friday,UT,3
2016,6,Friday,VA,64
2016,6,Friday,WA,99
2016,6,Friday,WI,9
2016,6,Friday,WV,1
